 	317344
e	195453
t	145542
a	117041
i	114368
n	110768
o	107947
s	107493
r	94339
h	71424
l	68401
e 	64143
c	55539
 t	48924
d	44310
u	43445
th	43317
s 	38086
f	37243
he	34397
m	33947
 a	32823
p	32390
in	28030
n 	27677
on	27169
t 	26074
.	25470
re	25348
g	25272
 i	24293
,	24206
y	23653
, 	23368
er	22524
at	22515
w	22307
 o	21579
 s	20655
ti	20445
b	20438
es	19874
d 	18889
an	17732
en	17380
v	17355
is	15750
te	15636
or	15304
 c	15152
y 	14995
le	14892
se	14851
al	14620
f 	14556
 w	14239
nt	14190
st	13817
of	13708
r 	13590
ar	12990
io	12666
 f	12401
nd	12383
l 	12216
ha	12201
ed	12007
ic	11870
 p	11649
 b	11460
o 	11360
ng	11344
as	11168
it	11115
 r	11115
(	9160
)	9030
x	6476
k	4926
T	4712
I	4666
1	4578
[	3254
]	3208
S	2966
A	2598
q	2415
j	2381
2	2334
C	2230
9	1959
5	1913
3	1844
W	1786
z	1771
R	1693
6	1676
4	1624
P	1447
0	1363
;	1351
7	1265
N	1249
V	1184
:	1124
/	1117
E	1070
+	1029
F	992
8	987
M	972
B	956
O	908
J	898
L	872
H	840
X	630
D	558
—	405
Y	391
G	390
#	362
U	318
=	287
K	277
*	267
Z	180
?	130
Q	108
